Id,Label,timeset,username,category,post_activity,fan_count,talking_about_count,users_can_post,link,,,,
1.08384E+14,ÍñigodelaSernaHernaiz,,,Interest,0,2,0,no,https://www.facebook.com/pages/%C3%8D%C3%B1igo-de-la-Serna-Hernaiz/108384249192358,,,,
2.27574E+14,CongresoFactorClaveTecnologicodeMonterreyCampusQueretaro,,,LocalBusiness,0,3,0,no,https://www.facebook.com/pages/Congreso-Factor-Clave-Tecnologico-de-Monterrey-Campus-Queretaro/227574363967060,,,,
1.06987E+14,TecdeMonterreyCampusSinaloa,,,College&University,0,11,0,no,https://www.facebook.com/pages/Tec-de-Monterrey-Campus-Sinaloa/106986779348912,,,,
1.58352E+14,ConsejoInternacionaldeBuenaVecindad,,,Community,0,19,0,yes,https://www.facebook.com/Consejo-Internacional-de-Buena-Vecindad-158352054181888/,,,,
1.0566E+14,EvangelinaVillegas,,,PublicFigure,0,20,0,no,https://www.facebook.com/pages/Evangelina-Villegas/105659926133196,,,,
1.83692E+15,RedRegionalVinculaciónNoroeste,,,Education,0.01,24,2,yes,https://www.facebook.com/Red-Regional-Vinculación-Noroeste-1836924109898981/,,,,
3.37483E+14,"ADSMexicana,SAdeCV",,,LocalBusiness,0,30,0,no,https://www.facebook.com/pages/ADS-Mexicana-SA-de-CV/337483426298806,,,,
2.24219E+14,NuevoEprendedor2013,,,Website,0,30,0,yes,https://www.facebook.com/Nuevo-Eprendedor-2013-224219024384037/,,,,
2.2476E+14,TECdeMonterreyCampusdeEducaciónEjecutiva,,,Education,0,32,0,yes,https://www.facebook.com/TEC-de-Monterrey-Campus-de-Educación-Ejecutiva-224760474287631/,,,,
1.11699E+14,ItesmCampusCiudaddeMexico,,,School,0,36,0,no,https://www.facebook.com/pages/Itesm-Campus-Ciudad-de-Mexico/111699072182925,,,,
2.01774E+14,EncuentrodeNegociosEXATEC2011,,,Community,0,40,0,yes,https://www.facebook.com/Encuentro-de-Negocios-EXATEC-2011-201773826513268/,,,,
1.74741E+14,Pre-StartupZacatecas,,PreStartupZacatecas,Company,0,41,0,yes,https://www.facebook.com/PreStartupZacatecas/,,,,
5.06611E+14,ConsejoInternacionaldeBuenaVecindad,,,Non-GovernmentalOrganization(NGO),0,45,2,yes,https://www.facebook.com/Consejo-Internacional-de-Buena-Vecindad-506610772736871/,,,,
1.08486E+14,TECNOLOGICODEMONTERREYCAMPUSQUERETARO,,,College&University,0,48,0,no,https://www.facebook.com/pages/TECNOLOGICO-DE-MONTERREY-CAMPUS-QUERETARO/108486229199084,,,,
5.14718E+14,EscuelaDeArquitectura+DiseñoIndustrialITESMLeón,,,College&University,0,50,0,no,https://www.facebook.com/pages/Escuela-De-Arquitectura-Dise%C3%B1o-Industrial-ITESM-Le%C3%B3n/514718172038102,,,,
2.15233E+14,ClusterAgroalimentariodeNuevoLeon,,,Agriculture,0,52,0,yes,https://www.facebook.com/Cluster-Agroalimentario-de-Nuevo-Leon-215232805212234/,,,,
1.82332E+14,Exatec,,,College&University,0,52,0,yes,https://www.facebook.com/Exatec-182331831809000/,,,,
4.69243E+14,SaladelecturaPrepaTec,,,Book,0,54,0,yes,https://www.facebook.com/Sala-de-lectura-Prepa-Tec-469243049803974/,,,,
1.21694E+14,ConcienciaCiudadanaporMéxico,,ConcienciaCiudadanaPorMexico,Community,0,55,0,no,https://www.facebook.com/ConcienciaCiudadanaPorMexico/,,,,
1.84846E+14,TECNOLOGICODEMONTERREYCAMPUSCENTRALDEVERACRUZ,,,College&University,0,55,0,no,https://www.facebook.com/pages/TECNOLOGICO-DE-MONTERREY-CAMPUS-CENTRAL-DE-VERACRUZ/184846378200248,,,,
7.11018E+14,Todoenfemenino,,Todoenfemenino,RadioStation,0.01,57,0,yes,https://www.facebook.com/Todoenfemenino/,,,,
4.80432E+14,RedCiudadana,,redciudadanasangilberto,CommunityOrganization,0,63,0,yes,https://www.facebook.com/redciudadanasangilberto/,,,,
1.19393E+14,IñigoJoaquindelaSernaHernaiz,,,Interest,0,65,0,no,https://www.facebook.com/pages/I%C3%B1igo-Joaquin-de-la-Serna-Hernaiz/119392921408296,,,,
